INSTNM,CITY,STABBR,CONTROL,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,PCTFLOAN,PCTPELL,MN_EARN_WNE_P10,MD_EARN_WNE_P10,ADM_RATE,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS
Gadsden State Community College,Gadsden,AL,1,4917,3168,5880,0,0.5734,29200,25700,NULL,0,0,0,0,0,0,0.0148,0.0491,0,0,0.1199,0,0.0342,0.0126,0,0.2146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331,0.0788,0.0491,0,0,0.3231,0.0708,0,4917
New Beginning College of Cosmetology,Albertville,AL,3,115,NULL,NULL,0.8553,0.8224,NULL,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
George C Wallace State Community College-Dothan,Dothan,AL,1,4293,3960,7350,0,0.5501,31400,26600,NULL,0,0,0,0,0,0,0.0137,0.0274,0,0,0.0948,0,0.0558,0,0,0.2655,0,0,0,0,0,0,0,0,0,0.0105,0,0.0221,0,0,0.0695,0.0253,0.0337,0,0,0.3509,0.0306,0,4293
George C Wallace State Community College-Hanceville,Hanceville,AL,1,4920,4260,7650,0.4192,0.5026,30800,28800,NULL,0,0,0,0,0,0,0.0251,0.0308,0,0,0.0103,0,0.0125,0.0171,0,0.1868,0,0,0,0,0.0296,0,0,0,0,0,0,0.0251,0,0,0,0.0786,0.0296,0.0034,0.0068,0.5148,0.0296,0,4920
George C Wallace State Community College-Selma,Selma,AL,1,1513,3960,7350,0,0.7645,28900,24200,NULL,0,0,0,0,0,0,0.0096,0.0867,0,0,0.0241,0,0,0,0,0.3518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1446,0.0337,0.1373,0,0,0.1084,0.1036,0,1513
Herzing University-Birmingham,Birmingham,AL,3,302,12790,12790,0.7736,0.6541,45100,42300,1,0,0,0,0,0,0,0.1111,0,0,0,0.0808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051,0,0,0,0,0,0,0.0051,0.7525,0.0455,0,302
Huntingdon College,Montgomery,AL,2,1149,24550,24550,0.7153,0.3982,40800,36500,0.5839,0,0,0,0,0.0381,0,0,0,0.0466,0,0,0,0,0,0.0297,0,0,0.1102,0.0212,0,0,0.0975,0.0212,0.0085,0.0085,0,0.0381,0,0,0.0339,0,0,0,0,0.0297,0.0254,0.4746,0.0169,1149
Heritage Christian University,Florence,AL,2,62,9792,9792,0.4493,0.6087,PrivacySuppressed,PrivacySuppressed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
J F Drake State Community and Technical College,Huntsville,AL,1,974,3384,6096,0,0.5763,26300,22300,NULL,0,0,0,0,0,0,0.0722,0.1889,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111,0.0444,0.1167,0,0,0.2722,0.1444,0,974
Jacksonville State University,Jacksonville,AL,1,7060,7092,13884,0.6825,0.4428,36700,34600,0.8326,0,0,0,0,0.0345,0,0.0138,0,0.1426,0,0.023,0.0023,0.0261,0,0.0153,0.0314,0,0.0368,0.0123,0,0,0.0077,0,0,0.0054,0,0.0176,0.0721,0.0828,0.0238,0,0,0,0,0.0452,0.2584,0.1235,0.0253,7060
Jefferson Davis Community College,Brewton,AL,1,1033,3968,7358,0,0.5765,29500,25400,NULL,0,0,0,0,0,0,0,0.0365,0,0,0.0685,0,0.0274,0,0,0.3196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1324,0.1507,0,0,0.242,0.0228,0,1033
Jefferson State Community College,Birmingham,AL,1,7443,4320,7710,0.2101,0.3372,32400,29400,NULL,0,0,0,0,0,0.0014,0.0547,0.0576,0,0,0.0719,0,0.0374,0,0,0.1827,0,0,0,0,0,0,0,0,0,0,0,0.0712,0,0,0,0,0,0,0,0.2784,0.2446,0,7443
