INSTNM,CITY,STABBR,CONTROL,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,PCTFLOAN,PCTPELL,MN_EARN_WNE_P10,MD_EARN_WNE_P10,ADM_RATE,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS
Blackburn College,Carlinville,IL,2,578,19560,19560,0.7937,0.5064,39700,37100,0.651,0,0,0,0,0.0198,0,0.0396,0,0.0891,0,0,0.0198,0,0.0099,0.0198,0,0,0.1584,0.0396,0,0,0.0792,0,0,0.0099,0,0.0594,0.0891,0,0.0099,0,0,0,0,0.0792,0.0198,0.2178,0.0396,578
Blessing Rieman College of Nursing,Quincy,IL,2,234,NULL,NULL,0.5267,0.2634,45100,44400,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,234
Blessing Hospital School of Radiologic Technology,Quincy,IL,2,20,NULL,NULL,0.4118,0.3529,45100,44400,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20
Bradley University,Peoria,IL,2,4585,30844,30844,0.6966,0.2466,57400,51400,0.643,0,0.0009,0,0,0.1156,0.0184,0.0158,0,0.0648,0.1681,0.0009,0.0061,0.0271,0,0.0245,0,0,0.0298,0.0061,0,0,0,0.0061,0,0.0158,0,0.0455,0.0166,0.0228,0.0184,0,0,0,0,0.0639,0.1427,0.1681,0.0219,4585
Paul Mitchell the School-Bradley,Bourbonnais,IL,3,338,NULL,NULL,0.5487,0.3847,24700,20600,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338
Cameo Beauty Academy,Oak Lawn,IL,3,109,NULL,NULL,0.673,0.7358,22400,18900,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
Cannella School of Hair Design-Villa Park,Villa Park,IL,3,74,NULL,NULL,0,0.5983,PrivacySuppressed,PrivacySuppressed,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
Cannella School of Hair Design-Chicago,Chicago,IL,3,95,NULL,NULL,0.4964,0.9209,16900,14600,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
Cannella School of Hair Design-Chicago,Chicago,IL,3,129,NULL,NULL,0,0.8065,19400,16800,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
Cannella School of Hair Design-Elgin,Elgin,IL,3,48,NULL,NULL,0.1748,0.6796,19900,18800,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
Empire Beauty School-Hanover Park,Hanover Park,IL,3,76,NULL,NULL,0.7059,0.6723,PrivacySuppressed,PrivacySuppressed,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
Capri Beauty College,Oak Forest,IL,3,92,NULL,NULL,0.7209,0.7209,26800,19000,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
Carl Sandburg College,Galesburg,IL,1,1591,4110,6854,0.1821,0.4854,29700,27900,NULL,0,0,0,0,0,0.0037,0.0391,0.0726,0.0074,0,0.0019,0,0,0.0056,0,0.1769,0,0,0,0,0.1285,0,0,0,0,0,0,0.0168,0,0,0,0.0764,0.1155,0,0.0056,0.3035,0.0466,0,1591
Catholic Theological Union at Chicago,Chicago,IL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
La James International College-East Moline,East Moline,IL,3,17,NULL,NULL,0.9063,0.7813,PrivacySuppressed,PrivacySuppressed,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Midwestern University-Downers Grove,Downers Grove,IL,2,NULL,NULL,NULL,NULL,NULL,150200,117800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The Chicago School of Professional Psychology at Chicago,Chicago,IL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Chicago State University,Chicago,IL,1,3874,9846,16806,0.8703,0.7118,36500,33000,0.2996,0,0,0,0.0058,0.0434,0,0.0087,0,0.0332,0,0,0.0043,0,0,0.0217,0.2789,0,0.0347,0.0101,0,0.0014,0.0145,0,0,0.0101,0,0.1142,0.1113,0,0.0694,0,0,0,0,0.0116,0.0867,0.1301,0.0101,3874
Chicago Theological Seminary,Chicago,IL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Chicago,Chicago,IL,2,5729,49380,49380,0.2667,0.1248,96100,64000,0.0876,0,0.0058,0,0.0043,0,0,0.013,0,0,0,0,0.0534,0,0,0.0477,0.0079,0,0.1329,0.0838,0,0.0007,0,0.0347,0.0022,0.0888,0,0.0563,0,0.0404,0.3502,0,0,0,0,0.0296,0,0,0.0484,5729
City Colleges of Chicago-Kennedy-King College,Chicago,IL,1,3836,3070,7891,0.2908,0.607,27100,21800,NULL,0,0,0,0,0.0055,0.0196,0.0228,0.2734,0.0008,0,0,0,0.0353,0,0,0.2011,0,0,0,0,0.0055,0,0,0,0,0,0,0.0408,0.0063,0,0.1398,0.0825,0.0181,0,0,0.1092,0.0393,0,3836
City Colleges of Chicago-Malcolm X College,Chicago,IL,1,4898,3070,7891,0.1662,0.513,28000,23500,NULL,0,0,0,0,0,0,0.0031,0.0114,0,0,0,0,0.0166,0,0,0.2945,0,0,0,0,0.0198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6545,0,0,4898
City Colleges of Chicago-Olive-Harvey College,Chicago,IL,1,2992,3070,7891,0.1989,0.4356,27700,23100,NULL,0,0,0,0,0,0,0.0085,0,0,0,0.0017,0,0.0437,0,0,0.0522,0,0,0,0,0.0034,0,0,0,0,0,0,0.0122,0,0,0,0,0,0.8652,0,0.0065,0.0065,0,2992
City Colleges of Chicago-Harry S Truman College,Chicago,IL,1,5523,3070,7891,0.08,0.24,34000,27300,NULL,0,0,0,0,0,0,0.0492,0.0589,0,0.0021,0.0021,0,0.0707,0.0097,0,0.3828,0,0,0,0,0.0354,0,0,0,0,0.0007,0,0.0222,0,0,0,0.043,0,0,0.0007,0.2892,0.0333,0,5523
City Colleges of Chicago-Richard J Daley College,Chicago,IL,1,4271,3070,7891,0.0603,0.2893,31400,28700,NULL,0.0053,0,0,0,0,0,0.0237,0,0,0.0024,0.0125,0,0.0866,0,0,0.1346,0,0,0,0,0.0065,0,0,0,0,0,0,0.0931,0,0,0.2734,0.0089,0,0,0,0.29,0.0629,0,4271
City Colleges of Chicago-Harold Washington College,Chicago,IL,1,8513,3070,7891,0.1425,0.5357,28900,25000,NULL,0.0008,0,0,0,0,0.0032,0.223,0,0.0024,0.0008,0.0097,0,0.029,0,0,0.5684,0,0,0,0,0.0467,0,0,0,0.0024,0,0,0.0121,0.004,0,0,0,0,0,0.0105,0.0322,0.0548,0,8513
City Colleges of Chicago-Wilbur Wright College,Chicago,IL,1,9067,3070,7891,0.0585,0.3581,35300,31600,NULL,0,0,0,0,0,0,0.0301,0,0,0.0106,0.0473,0,0,0.0117,0,0.4137,0.0084,0,0,0,0.0535,0,0,0,0,0,0,0.0512,0.0022,0,0,0.0033,0,0,0.0011,0.2957,0.0713,0,9067
Columbia College-Chicago,Chicago,IL,2,8929,23544,23544,0.6929,0.3808,36400,33000,0.8853,0,0,0,0.0029,0.0934,0.0626,0,0,0.0064,0,0,0.0073,0,0,0.0421,0.0029,0,0,0,0,0.0088,0,0,0,0.0044,0,0,0,0,0,0,0,0,0,0.6411,0,0.1281,0,8929
Concordia University-Chicago,River Forest,IL,2,1491,28718,28718,0.7531,0.4233,40500,37300,0.5385,0,0.0035,0,0.0035,0.0314,0,0.0035,0,0.2753,0,0,0.0035,0,0,0.0174,0,0,0.0244,0.0035,0,0.0244,0.1115,0,0.0279,0.0035,0,0.0732,0,0.0244,0.0383,0,0,0,0,0.0453,0.0209,0.2334,0.0314,1491
Le Cordon Bleu College of Culinary Arts-Chicago,Chicago,IL,3,1086,13324,13324,0.763,0.6524,37600,32900,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086
Coyne College,Chicago,IL,3,611,NULL,NULL,0.8117,0.845,38600,37100,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3915,0.3083,0,0,0,0.3002,0,0,611
Danville Area Community College,Danville,IL,1,2212,3975,6375,0.1172,0.3482,27900,25300,NULL,0.0233,0,0,0,0,0,0.0204,0.0058,0,0.0029,0.0219,0,0.0219,0,0,0.2566,0,0,0,0,0,0,0,0,0,0,0,0.0364,0,0,0,0.0685,0.0102,0.0466,0,0.414,0.0714,0,2212
Tricoci University of Beauty Culture-Danville,Danville,IL,3,42,NULL,NULL,0.6447,0.75,19600,16800,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
DePaul University,Chicago,IL,2,15858,35071,35071,0.578,0.3504,55800,50300,0.6988,0,0.0095,0.0029,0.0074,0.1367,0.0132,0.0519,0,0.0379,0,0,0.0077,0,0,0.0302,0.1134,0,0.0196,0.0082,0,0.0053,0,0.0098,0,0.0061,0,0.0715,0,0.0013,0.0959,0,0,0,0,0.0617,0.0207,0.2797,0.0093,15858
Cosmetology & Spa Academy,Crystal Lake,IL,3,177,NULL,NULL,0.7778,0.7531,22900,21200,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
College of DuPage,Glen Ellyn,IL,1,20964,5371,13081,0.2961,0.2398,39100,34400,NULL,0.0116,0,0,0,0,0.0064,0.0621,0.0166,0.0014,0.0061,0.0186,0,0.0232,0.0136,0,0.3001,0.0066,0,0,0,0.0668,0.0007,0,0,0.0007,0,0,0.0361,0.003,0.0032,0.0016,0.0202,0.0016,0,0.0234,0.2701,0.1064,0,20964
East-West University,Chicago,IL,2,555,19545,19545,0.8026,0.7997,26900,23000,NULL,0,0,0,0,0,0,0.1364,0,0,0,0.1667,0,0,0,0.0379,0.1818,0,0,0.0152,0,0.2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2197,0,555
Eastern Illinois University,Charleston,IL,1,7525,11108,28088,0.6669,0.3958,43500,39900,0.4976,0,0,0,0.0009,0.1062,0,0.0145,0,0.1328,0.0005,0.0136,0.0061,0.0814,0,0.0192,0.0884,0,0.0384,0.0094,0,0.0327,0.1094,0.0019,0,0.0112,0,0.0571,0,0,0.0692,0,0,0,0,0.0426,0.0323,0.1048,0.0276,7525
Elgin Community College,Elgin,IL,1,8354,2746,11962,0.1092,0.3505,34000,31300,NULL,0,0,0,0,0,0.0056,0.0072,0.0971,0,0.0056,0.0237,0,0.0273,0.0152,0,0.2035,0,0,0,0,0.0787,0.0028,0,0,0,0.0068,0,0.0365,0.0092,0,0,0.1601,0.0281,0.0152,0.0096,0.2175,0.0502,0,8354
Elmhurst College,Elmhurst,IL,2,2773,33950,33950,0.6179,0.299,50800,48400,0.6771,0,0,0,0,0.077,0.008,0.0279,0,0.0983,0,0,0.008,0,0,0.0465,0.0027,0,0.0452,0.0212,0,0.0093,0.0571,0.0093,0.0027,0.0186,0,0.1089,0.0305,0,0.0398,0,0,0,0,0.0478,0.1434,0.1766,0.0212,2773
Eureka College,Eureka,IL,2,652,20060,20060,0.776,0.4162,40000,35500,0.6448,0,0.0119,0,0,0.0655,0,0.006,0,0.1548,0,0,0,0,0,0.0536,0,0,0.0655,0.0417,0,0,0.0893,0.0119,0,0.0179,0,0.0595,0.0833,0,0.0298,0,0,0,0,0.0417,0,0.1905,0.0774,652
First Institute Inc,Crystal Lake,IL,3,286,NULL,NULL,0.7335,0.6469,40900,35900,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,286
Fox College,Bedford Park,IL,3,354,15180,15180,0.8494,0.6182,34400,34500,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218,0.7991,0.179,0,354
Garrett-Evangelical Theological Seminary,Evanston,IL,2,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gem City College,Quincy,IL,3,51,NULL,NULL,0.8077,0.75,19700,15500,NULL,0,0,0,0,0,0,0,0.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4286,0,0,0,0,0,0,51
Governors State University,University Park,IL,1,3557,9386,17036,0.763,0.5147,44300,41000,0.9409,0,0,0,0,0.041,0,0.0277,0,0.0307,0,0,0,0,0,0.0359,0.2234,0,0.0225,0.0143,0,0,0,0,0,0.0031,0,0.1014,0.1076,0.0389,0.0072,0,0,0,0,0.0092,0.1844,0.1527,0,3557
Graham Hospital School of Nursing,Canton,IL,2,82,12363,12363,0.7683,0.6463,PrivacySuppressed,PrivacySuppressed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82
Greenville College,Greenville,IL,2,1055,24360,24360,0.7626,0.4004,39600,36200,0.5568,0,0,0,0,0.0373,0.0271,0,0,0.1525,0,0,0.0034,0,0,0.0237,0.0034,0,0.1051,0.0068,0,0.0102,0.0305,0.0237,0.0407,0.0169,0,0.0203,0.061,0.0441,0.0034,0,0,0,0,0.0881,0,0.278,0.0237,1055
Hair Professionals Academy of Cosmetology,West Dundee,IL,3,239,NULL,NULL,0.5086,0.3857,22700,19100,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239
Hair Professionals Career College,Sycamore,IL,3,80,NULL,NULL,0.618,0.618,23900,20300,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
Hair Professionals School of Cosmetology,Oswego,IL,3,80,NULL,NULL,0.4786,0.3846,25300,21800,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
Harrington College of Design,Chicago,IL,3,298,18357,18357,0.7848,0.5171,39600,35200,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,298
Hebrew Theological College,Skokie,IL,2,404,19190,19190,0.0505,0.5305,31000,18500,0.9284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404
Highland Community College,Freeport,IL,1,1456,3231,5151,0.1664,0.4372,30300,26600,NULL,0.0152,0,0,0,0,0,0.0152,0.0152,0.0025,0.0202,0.0152,0,0.0126,0,0,0.2551,0,0,0,0,0.2121,0,0,0,0,0,0,0,0,0,0,0.1237,0.0404,0,0.0126,0.1843,0.0758,0,1456
Rosalind Franklin University of Medicine and Science,North Chicago,IL,2,NULL,NULL,NULL,NULL,NULL,175600,137500,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
University of Illinois at Chicago,Chicago,IL,1,16635,13634,26024,0.5013,0.5115,62200,51100,0.7448,0,0,0.013,0.0059,0.0226,0,0.0282,0,0.029,0.1094,0.0003,0.0133,0,0,0.0306,0.0003,0,0.1321,0.0152,0,0.0064,0.0421,0.0056,0,0.0208,0,0.1371,0.0375,0,0.0708,0,0,0,0,0.0391,0.0708,0.1547,0.0152,16635
Benedictine University,Lisle,IL,2,3750,26558,26558,0.6008,0.367,55100,51000,0.7717,0,0.0074,0,0,0.0296,0,0.0074,0,0.0359,0,0,0.0021,0.0349,0,0.0032,0.0011,0,0.0698,0.0074,0,0,0,0.0011,0,0.0063,0,0.0835,0.0106,0,0.0634,0,0,0,0,0.0106,0.2548,0.3679,0.0032,3750
Illinois College of Optometry,Chicago,IL,2,NULL,NULL,NULL,NULL,NULL,83700,80700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Illinois at Urbana-Champaign,Champaign,IL,1,31875,15020,29646,0.3893,0.2058,65400,56600,0.5904,0.065,0.0093,0.0207,0.0121,0.0828,0,0.031,0.0001,0.028,0.1907,0,0.0098,0.0095,0,0.0206,0.0014,0,0.0736,0.022,0,0.0111,0.0348,0.0039,0,0.0275,0,0.0576,0,0.0063,0.0729,0,0,0,0.0009,0.0263,0.049,0.1182,0.0146,31875
Illinois Wesleyan University,Bloomington,IL,2,1883,40844,40844,0.6162,0.1911,61000,54400,0.6043,0,0.0201,0,0.002,0,0,0.0101,0,0.0463,0,0,0.0161,0,0,0.0443,0,0,0.0785,0.0201,0,0.0221,0,0.0101,0,0.0463,0,0.1388,0,0,0.0946,0,0,0,0,0.1026,0.0664,0.2515,0.0302,1883
Illinois Central College,East Peoria,IL,1,7934,3750,9300,0.1127,0.2826,33700,30300,NULL,0.0281,0,0,0,0,0.0027,0.0445,0.017,0,0.0159,0.0122,0.0064,0.0111,0.0133,0,0.4194,0.0032,0,0,0,0,0.0005,0,0,0,0,0,0.009,0,0,0,0.053,0.0223,0,0.0016,0.3012,0.0387,0,7934
Illinois College,Jacksonville,IL,2,948,29210,29210,0.8663,0.3703,41400,37300,0.5413,0,0,0,0,0,0,0.0204,0,0.0867,0,0,0.0204,0,0,0.0969,0,0,0.2041,0.0255,0,0.1531,0,0,0,0.051,0,0.0867,0,0,0.0867,0,0,0,0,0.0408,0,0.0816,0.0459,948
Olney Central College,Olney,IL,1,833,2954,11070,0.0782,0.3891,30400,28300,NULL,0,0,0,0,0,0,0,0.0214,0,0,0,0,0,0,0,0.3494,0,0,0,0,0.0339,0,0,0,0,0,0,0.0196,0,0,0,0.0303,0.0232,0,0,0.5205,0.0018,0,833
Illinois Institute of Technology,Chicago,IL,2,3046,41645,41645,0.446,0.3103,76500,69300,0.506,0,0,0.1721,0,0.0102,0,0.0971,0,0,0.5111,0.029,0,0,0,0,0.0034,0,0.0358,0.0136,0,0,0,0,0,0.0375,0,0.0307,0,0,0.0119,0,0,0,0,0,0,0.0477,0,3046
Argosy University-Chicago,Chicago,IL,3,245,13663,13663,0.7782,0.7713,41300,37000,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5172,0.1379,0,0,0,0,0,0,0,0,0.3448,0,245
Illinois State University,Normal,IL,1,18056,13296,20886,0.6017,0.2665,49000,45500,0.7388,0.032,0,0,0,0.0693,0.0019,0.0274,0,0.1405,0,0.0181,0.01,0.0401,0,0.0373,0.0329,0,0.035,0.0165,0,0,0.0376,0.003,0,0.0146,0,0.039,0.0359,0.0111,0.0559,0,0,0,0,0.0459,0.0895,0.1806,0.026,18056
Illinois Valley Community College,Oglesby,IL,1,2769,3562,10560,0.0899,0.3452,32800,28500,NULL,0.0018,0,0,0,0,0,0.0072,0,0.0054,0,0.0314,0,0.0063,0,0,0.1013,0,0,0,0,0.2099,0,0,0,0,0,0,0.0233,0.0018,0,0.0404,0.0601,0.0215,0.061,0.0072,0.3973,0.0242,0,2769
Institute for Clinical Social Work,Chicago,IL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sanford-Brown College-Chicago,Chicago,IL,3,229,14400,14400,0.8555,0.7514,30400,25700,NULL,0,0,0,0,0,0,0.0816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408,0,0,0,0,0,0,0.6429,0,0.2347,0,229
John A Logan College,Carterville,IL,1,3664,2970,9630,0,0.2355,28900,25200,NULL,0,0,0,0,0,0,0.0038,0.0433,0.0047,0,0.0282,0.0075,0.0028,0.0028,0,0.3013,0,0,0,0,0.0621,0,0,0,0,0,0,0.0273,0,0,0.0066,0.0603,0.0207,0,0.0028,0.3757,0.0499,0,3664
The John Marshall Law School,Chicago,IL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
John Wood Community College,Quincy,IL,1,1577,4260,7560,0.3094,0.4966,30400,28100,NULL,0.0381,0,0,0,0,0.0021,0.0063,0.0042,0,0,0.0085,0,0.0106,0,0,0.1691,0,0,0,0,0.1924,0,0,0,0,0,0,0.0233,0,0,0.0317,0,0.0846,0,0.0063,0.3573,0.0655,0,1577
Joliet Junior College,Joliet,IL,1,12606,3450,10006,0.0771,0.2266,35000,30200,NULL,0.019,0.0005,0,0,0,0.0057,0.0266,0.036,0.0019,0,0.046,0,0.0133,0.0005,0,0.3523,0.0009,0,0,0,0.0602,0,0,0,0,0,0,0.0441,0,0,0.0076,0.1024,0.0047,0.0095,0.0005,0.1897,0.0787,0,12606
Judson University,Elgin,IL,2,1051,27530,27530,0.5507,0.439,45200,39800,0.7312,0,0.0082,0.1029,0,0.0453,0,0,0,0.0947,0,0,0,0,0.0082,0.0123,0.0288,0,0.0247,0,0,0.0123,0.0494,0,0.07,0,0,0.0741,0.0247,0.0576,0.0247,0,0,0,0,0.0494,0,0.2922,0.0206,1051
Kankakee Community College,Kankakee,IL,1,2893,3750,16136,0.2068,0.4311,30600,27600,NULL,0,0,0,0,0,0.0124,0.001,0,0.0021,0.0083,0.0424,0,0.0227,0.0145,0,0.1746,0,0,0,0,0.0434,0,0,0,0,0,0,0.126,0,0,0,0.0816,0.1033,0,0.0052,0.2738,0.0888,0,2893
Kaskaskia College,Centralia,IL,1,2654,3808,13088,0.0856,0.2876,28700,25300,NULL,0.0259,0,0,0,0,0,0.0139,0.072,0,0.0032,0.0669,0,0.0227,0.0006,0,0.1812,0,0,0,0,0.0196,0,0,0,0,0,0,0.0417,0,0,0.0385,0.0713,0.0177,0.0145,0,0.3857,0.0246,0,2654
Kendall College,Chicago,IL,3,1452,25173,25173,0.4593,0.4014,41600,38600,0.8351,0,0,0,0,0,0,0,0.3447,0.3667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2885,0,1452
Kishwaukee College,Malta,IL,1,3293,3810,14610,0.2167,0.3933,35400,32100,NULL,0.07,0,0,0,0,0,0.0118,0,0,0.0032,0.0237,0,0,0,0,0.0818,0,0,0,0,0.3079,0,0,0,0,0,0,0.0118,0,0,0.0054,0.0667,0.0086,0.0032,0.0011,0.3681,0.0366,0,3293
Knox College,Galesburg,IL,2,1376,40497,40497,0.6201,0.2907,46500,41700,0.6824,0,0.0538,0,0.0222,0,0,0.0253,0,0.0949,0,0,0.0285,0,0,0.1677,0.0127,0,0.0886,0.0063,0,0,0,0.019,0,0.0475,0,0.0601,0,0,0.2405,0,0,0,0,0.0949,0,0,0.038,1376
Educators of Beauty College of Cosmetology-La Salle,La Salle,IL,3,39,NULL,NULL,0.62,0.68,19500,16900,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
College of Lake County,Grayslake,IL,1,11061,3388,10262,0.0498,0.1954,35200,30800,NULL,0.0053,0.0033,0,0,0.0008,0,0.032,0.0545,0.0058,0.0064,0.0253,0,0.0047,0.0186,0.0008,0.2346,0.0019,0,0,0,0.0353,0.0058,0,0,0,0,0,0.0297,0.0003,0,0,0.1212,0.0039,0,0.0006,0.3696,0.0395,0,11061
Lake Forest College,Lake Forest,IL,2,1600,41172,41172,0.6679,0.3321,53800,47100,0.552,0,0.0316,0,0.023,0.1178,0,0.0144,0,0.0316,0,0,0.0287,0,0,0.0489,0,0,0.0833,0.0057,0,0,0,0.0402,0,0.0287,0,0.0661,0,0,0.25,0,0,0,0,0.046,0,0.1322,0.0517,1600
